destination_iata,delayed_percentage
SLC,100.0
SCL,100.0
GIB,50.0
GCI,50.0
RMI,50.0
BDS,50.0
PEG,50.0
BJV,50.0
DLM,50.0
BLL,50.0
SUB,50.0
AYT,50.0
FLR,44.44
INV,40.0
PMO,40.0
AGP,34.29
NAP,33.33
VLC,33.33
BSL,33.33
SHJ,33.33
KEF,32.0
NCL,31.58
MXP,28.57
LYS,27.78
DBV,27.27
JMK,25.0
BEG,25.0
CHQ,25.0
LJU,25.0
GYD,25.0
DFW,24.14
ABZ,23.33
EWR,22.58
ORK,21.74
TLS,21.43
CPH,21.43
OSL,21.43
MRS,20.0
GLA,19.35
BCN,18.42
BER,18.18
GVA,17.14
ATH,16.67
SPU,16.67
DAC,16.67
HKG,16.67
LTN,16.67
FCO,15.56
SEA,14.63
SKG,14.29
DUB,13.89
BRU,13.64
HND,13.64
MAN,12.5
JTR,12.5
JNB,12.12
MUC,11.9
ARN,11.11
LHR,11.11
ORD,10.91
TLV,10.0
VCE,9.52
PRG,8.7
JFK,8.62
LGW,8.33
FRA,8.2
ZRH,7.89
BOM,7.69
VIE,6.25
NCE,6.06
AHB,5.88
AMS,4.55
RUH,0.83
MAF,0.0
EVN,0.0
KRT,0.0
PZU,0.0
CAN,0.0
PKX,0.0
IST,0.0
MUB,0.0
WDH,0.0
WVB,0.0
GBE,0.0
HRE,0.0
VFA,0.0
GRJ,0.0
SZK,0.0
HDS,0.0
MQP,0.0
DUR,0.0
DEL,0.0
CCJ,0.0
HYD,0.0
AMD,0.0
ABE,0.0
ATL,0.0
TOL,0.0
LHE,0.0
KHI,0.0
YVR,0.0
YYZ,0.0
YHZ,0.0
YYC,0.0
HER,0.0
TBS,0.0
LAX,0.0
PHX,0.0
IAD,0.0
CLT,0.0
BUD,0.0
HAJ,0.0
LCA,0.0
BLR,0.0
MAA,0.0
PSA,0.0
LUX,0.0
HAM,0.0
CDG,0.0
LIN,0.0
ZAG,0.0
BHD,0.0
MAD,0.0
ABV,0.0
GOT,0.0
LAS,0.0
STL,0.0
IAH,0.0
MIA,0.0
PDX,0.0
BNA,0.0
MSY,0.0
BOS,0.0
SAN,0.0
SFO,0.0
AUS,0.0
NBO,0.0
PMI,0.0
KRK,0.0
IBZ,0.0
FAO,0.0
CFU,0.0
CAI,0.0
EDI,0.0
LIS,0.0
DOH,0.0
HEL,0.0
AMM,0.0
DEN,0.0
BEY,0.0
AUH,0.0
WAW,0.0
CMB,0.0
SNN,0.0
DUS,0.0
MSP,0.0
ALG,0.0
AZR,0.0
DMM,0.0
ELQ,0.0
GIZ,0.0
MED,0.0
BOG,0.0
MEX,0.0
SMF,0.0
ANC,0.0
PSG,0.0
SIT,0.0
CMN,0.0
KUL,0.0
DXB,0.0
SIN,0.0
GRU,0.0
JER,0.0
PVG,0.0
NAS,0.0
NZY,0.0
FSC,0.0
TIA,0.0
LDY,0.0
TFS,0.0
PDL,0.0
BLQ,0.0
OLB,0.0
NOC,0.0
MLE,0.0
TIV,0.0
RHO,0.0
EFL,0.0
ZTH,0.0
PVK,0.0
IOM,0.0
BIO,0.0
ORY,0.0
SCQ,0.0
SVQ,0.0
EGC,0.0
TLN,0.0
OTP,0.0
PFO,0.0
ZYL,0.0
BWN,0.0
BKK,0.0
BHX,0.0
TAS,0.0
SZX,0.0
TFU,0.0
PEK,0.0
TPE,0.0
MGQ,0.0
LOS,0.0
MCO,0.0
JED,0.0
NBJ,0.0
HFA,0.0
KTW,0.0
BOD,0.0
TTN,0.0
MLA,0.0
EAM,0.0
ADD,0.0
TUU,0.0
HOF,0.0
DAM,0.0
SSH,0.0
SJJ,0.0
PLZ,0.0
ELS,0.0
HLA,0.0
STN,0.0
BRS,0.0
RAK,0.0
CGK,0.0
BAH,0.0
NQT,0.0
JAV,0.0
GOH,0.0
CKG,0.0
LPA,0.0
TFN,0.0
LCY,0.0
ADE,0.0
HNH,0.0
HNS,0.0
SGY,0.0
KLW,0.0
KWI,0.0
FAB,0.0
KNO,0.0
UPG,0.0
ALA,0.0
ICN,0.0
LBA,0.0
BFS,0.0
EMA,0.0
MBJ,0.0
HBE,0.0
RBD,0.0
LXR,0.0
GLN,0.0
SDR,0.0
MCT,0.0
SAW,0.0
MUX,0.0
ISB,0.0
COK,0.0
GCM,0.0
WRO,0.0
MRU,0.0
HMB,0.0
ALY,0.0
ATZ,0.0
URY,0.0
HAS,0.0
AJF,0.0
AQI,0.0
RSI,0.0
YNB,0.0
ULH,0.0
ABT,0.0
BHH,0.0
SHW,0.0
WAE,0.0
TUN,0.0
KAN,0.0
SLL,0.0
BOI,0.0
ALC,0.0
HDN,0.0
LPL,0.0
MRA,0.0
NTE,0.0
CLJ,0.0
TSR,0.0
IAS,0.0
DEB,0.0
GST,0.0
NLU,0.0
ADJ,0.0
SPX,0.0
TZX,0.0
HRG,0.0
